dialogue,type,labels
"Suspect: Hi, this is Karen from Dr. Smith's office. I'm calling to confirm your appointment for tomorrow at 2 PM.   Innocent: Oh, hi Karen. I think there might be some mistake. I don't have an appointment with Dr. Smith tomorrow.   Suspect: Okay, let me check on that. Can you please confirm your name and date of birth for me?   Innocent: Wait, how did you get my number? I don't recall making an appointment or giving out my contact info.   Suspect: I apologize for the confusion. We must have gotten your number from your insurance provider.   Innocent: I'm not buying it. You're not very good at this, are you?   Suspect: Um, I'm not sure what you mean. I'm just trying to do my job.   Innocent: Save it. You're not a scammer, are you? You're actually from Dr. Smith's office.   Suspect: Ah, yes. I am. I apologize for the confusion earlier. We did have a miscommunication.   Innocent: Ha! I knew it. You're not slick enough to be a scammer. Thanks for confirming.",appointment,0
"Suspect: Hi, is this John? Innocent: Yeah, that's me. Who's this? Suspect: This is Karen from Dr. Smith's office. I'm calling to confirm your appointment for tomorrow at 2 PM. Innocent: Ah, yeah. I think I have that scheduled. Can you tell me a little bit more about the appointment? What's it for again? Suspect: It's just a follow-up for your recent check-up. We need to go over the results of your blood work. Innocent: Okay, sounds good. But can you tell me what my copay is going to be for this visit? Suspect: Let me check on that for you.  Okay, it looks like your copay is $20. Innocent: Alright, that sounds right. You know, I've been getting a lot of weird calls lately. Can you tell me how you got my number? Suspect: We got it from your patient file, sir. You provided it to us when you made the appointment. Innocent: Okay, that makes sense. I was just making sure. Thanks for confirming everything, Karen. Suspect: You're welcome, John. We'll see you tomorrow at 2 PM.",appointment,0
"Suspect: Hi, I'm calling from XYZ Medical Center. We have you scheduled for an appointment on Friday at 2 PM. Can you confirm that you're still able to make it?  Innocent: Actually, I'm not sure. Can you tell me what the appointment is for again?  Suspect: It's for a follow-up on your recent lab results. We need to go over the test findings with you.  Innocent: Okay, that sounds familiar. But can you tell me more about the test findings? What did they show?  Suspect: Let me check on that real quick.  Okay, it looks like everything came back normal. We just need to review the results with you and answer any questions you may have.  Innocent: Alright, that sounds good. Yeah, I can make it on Friday. But just to confirm, do you guys usually call to confirm appointments or is this just a one-time thing?  Suspect: We usually send out automated reminders, but we're having some technical issues with our system right now, so we're calling everyone personally.  Innocent: Okay, that makes sense. Thanks for clarifying. Yeah, I'll see you on Friday.  Suspect: Great, we'll see you then. Is there anything else I can help you with?  Innocent: No, that's all. Thanks again.",appointment,0
"Suspect: Hi, I'm calling to confirm your appointment for tomorrow at 2 PM. Innocent: Oh, I don't recall scheduling an appointment. Can you tell me what it's for? Suspect: It's for a consultation with Dr. Smith. You must have made the appointment online. Innocent: I don't think so. I'm pretty careful about keeping track of my schedule. Can you give me more information about the consultation? Suspect: Let me check on that.  Okay, it says here that you're scheduled for a financial review. Innocent: I'm not interested in a financial review. I think you may have the wrong person. Suspect: I apologize for the mistake. Can I ask, did you recently receive any mail from our company? Innocent: No, I don't think so. Wait, what's the name of your company again? Suspect: It's Smith Financial Services. Innocent: I've never heard of it. But I have to say, you seem pretty legitimate. Most scammers wouldn't bother to ask questions like that. Suspect:  Well, we're definitely not scammers! We're a reputable company. I think we just made an honest mistake. Would you like me to remove your name from our list? Innocent: Yeah, that would be great. Thanks for being understanding.",appointment,0
"Suspect: Hi, I'm calling from Dr. Smith's office. We have you scheduled for an appointment on Friday at 2 PM. Is that still good for you? Innocent: Actually, I don't recall making an appointment with Dr. Smith. Can you tell me more about it? Suspect: Let me check.  Okay, it says here you called to schedule a consultation for a minor procedure. Does that ring a bell? Innocent: I don't think so. What's the procedure for? Suspect: It says here it's for a mole removal. We also have a note that you were referred by your primary care physician. Innocent: I haven't talked to my primary care physician about getting a mole removed. Can you tell me more about the office and how you got my number? Suspect: We're a dermatology office located downtown, and we got your number from your insurance provider. We've been trying to reach you to confirm the appointment. Innocent: Okay, I think I remember now. I did call a few weeks ago to ask about getting a mole checked out, but I never scheduled an appointment. Sorry about the confusion. Suspect: No worries at all! I'm glad we could clear it up. Would you like to reschedule the appointment for a later date?",appointment,0
"Suspect: Hi, this is Karen from Dr. Smith's office. I'm calling to confirm your appointment for tomorrow at 2 PM.  Innocent: Ah, hi Karen. Yeah, I think that's correct. But can you tell me a little bit more about the appointment? What's it for again?  Suspect: Uh, let me check. Okay, it says here that you have a follow-up for your... um... skin condition.  Innocent: Skin condition? I don't recall having a skin condition. Are you sure you have the right person?  Suspect: I apologize for the mistake. Let me check again.  Ah, yes. I see that you actually have an appointment for a consultation about our new insurance plans.  Innocent: Okay, that sounds right. But can you tell me more about what we'll be discussing during the consultation?  Suspect: Absolutely. We'll be going over the different plans we offer and finding one that fits your needs and budget.  Innocent: Okay, that sounds legitimate. Sorry for being a bit skeptical earlier. I've just been getting a lot of scam calls lately.  Suspect: No need to apologize! We get it all the time too. I'm glad we could clear things up. See you tomorrow at 2 PM!  Innocent: Sounds good. Thanks, Karen.",appointment,0
"Suspect: Hi, is this John? Innocent: Yeah, that's me. Who's this? Suspect: This is Karen from Dr. Smith's office. I'm calling to confirm your appointment for tomorrow at 2 PM. Innocent: Ah, yeah! I think I have that scheduled. Can you tell me a little bit more about what the appointment is for? Suspect: Uh, let me check. Okay, it says here that you have a follow-up appointment for your check-up last month. Innocent: That sounds right. But can you tell me what Dr. Smith's specialty is again? Suspect: Dr. Smith is a general practitioner. He's your primary care physician. Innocent: Okay, cool. And how long have I been seeing him? Suspect: Let me see... according to our records, you've been seeing him for about three years now. Innocent: Alright, that all sounds legit. Yeah, I'll be there tomorrow at 2 PM. Thanks for confirming! Suspect: You're welcome, John. We'll see you then!",appointment,0
"Suspect: Hi, this is Karen from Dr. Smith's office. I'm calling to confirm your appointment for tomorrow at 2 PM.  Innocent: Ah, hi Karen! Yeah, I think I have an appointment tomorrow, but I'm not sure what time it is. Can you tell me what it's for again?  Suspect: Of course! You're scheduled for a follow-up on your recent check-up. We just need to go over some test results with you.  Innocent: Okay, that sounds right. But I'm a little confused - I don't remember getting any test results. Can you tell me more about what we're going to be discussing?  Suspect: I apologize for the confusion. Let me check on that for you.  Okay, it looks like the doctor just wants to review some routine blood work with you.  Innocent: Okay, that makes sense. You know, I was a little worried this might be a scam call. But you seem really knowledgeable about my appointment. Can I ask, what's the doctor's office address again?  Suspect: Ha ha, no problem! We get that a lot. Our office is located at 123 Main St, downtown. Would you like me to confirm your appointment again?  Innocent: Yeah, that sounds right. And thanks for being understanding. I think I'm all set for tomorrow then.  Suspect: You're welcome! We'll see you at 2 PM tomorrow then.",appointment,0
"Suspect: Hi, this is Karen from Dr. Smith's office. I'm calling to confirm your appointment for tomorrow at 2 PM.  Innocent: Ah, yeah! I think I have an appointment, but can you tell me more about what it's for? I'm trying to remember.  Suspect: Um, let me check.  Okay, it says here you have a follow-up appointment for your, uh, medical issue.  Innocent: Medical issue? I don't recall having a medical issue. Can you be more specific?  Suspect: I apologize, I must have misspoken. Let me check again.  Ah, yes! It's for a consultation about your insurance coverage.  Innocent: Oh, okay! I did call about getting a new insurance plan. But can you tell me more about what we'll be discussing during the consultation?  Suspect: Absolutely! We'll be going over your options and finding the best plan for your needs.  Innocent: That sounds great, thank you! Yeah, I'll definitely be there tomorrow at 2 PM.  Suspect: Wonderful! We're looking forward to seeing you then. Is there anything you'd like to bring with you to the appointment?  Innocent: Hmm, I'm not sure. What would you recommend?  Suspect: Just your ID and any relevant medical history would be helpful.  Innocent: Okay, got it! Thanks again, Karen.",appointment,0
"Suspect: Hi, this is Karen from XYZ Medical Center. I'm calling to confirm your appointment for tomorrow at 2 PM. Innocent: Oh, hi Karen. I think there's been a mistake. I don't recall making an appointment with your center. Suspect: Let me check on that. Can you please confirm your name and date of birth? Innocent: Sure thing. It's John Doe, and my date of birth is March 12, 1985. But I'm curious, how did you get my number? Suspect: We must have gotten it from your insurance provider. Anyway, I don't see any appointments scheduled under your name. Would you like to schedule one? Innocent: That's strange. I'm pretty sure I would've remembered making an appointment. Can you tell me more about your center and what kind of services you offer? Suspect: Absolutely. We're a medical center that offers a range of services, from primary care to specialized treatments. We're actually running a promotion right now for new patients. Innocent: I see. Well, I appreciate your time, Karen. But I think I'll have to pass on scheduling an appointment. Thanks for clarifying things for me. Suspect: You're welcome, John. Sorry again for the confusion. Have a great day!",appointment,0
