dialogue,type,call,link,channel,labels
"Innocent: Yes, hello.
Suspect: Yes ma'am, are you there?
Innocent: Is Kelvin there?
Suspect: Yes ma'am, this is Kevin, the computer guy. You remember me?
Innocent: Um, I think so. I maybe had talked to you the other day.
Suspect: Yes ma'am. So first of all, I want you to join this call. This is in regards to your computer. As I already told you, the IP address of your computer has been compromised with some form.
Innocent: Yes, that's what I was trying to do.
Suspect: And ma'am, due to that, whatever data you have in your computer is totally hacked by the hackers, and they are downloading lots of unwanted errors and warning reports and viruses in your computer.
Innocent: Wait, wasn't it talking to you last night?
Suspect: Yes ma'am, yes. So ma'am, first of all, I want you to go ahead and be in front of your computer for a moment so that I can go ahead and show you the problem.
Innocent: You don't sound as tired as you were yesterday.
Suspect: No ma'am, no problem. Ma'am, I want you to go ahead and be in front of your computer for a moment again.
Innocent: Yes, yes, yes, yes. Go ahead and turn it on.
Suspect: Okay.
Innocent: Ma'am, can you hear me?
Suspect: Yes.
Innocent: Who's Babu?
Suspect: Ma'am, he's one of our...he's one of my colleagues.
Innocent: All right, ma'am. So now, first of all, go ahead and turn on your computer and open your AnyDesk. Now click on accept. Do you see accept on your screen?
Innocent: Um, no, I didn't. Hold on, honey. Hold on, you're going too fast. Who's Prahlad?
Suspect: Yes, yes, this is me, this is me. No ma'am, my name is Kevin. All right, granny. So now look at the extreme right-hand side bottom corner of your computer screen. Can you see you are successfully connected to the Microsoft IT department?
Innocent: Um, hold on, honey. Suspect: Look at here at the right-hand side bottom corner of your screen.
Innocent: Yes, I see. Well, hold on, honey. Hold on, my granddaughter's texting me. Give me two seconds, okay? Just hold on, honey. Just give me two seconds. All right. Hold on, honey. Are you having a good day?
Suspect: No, Not yet?
Innocent: Why not?
Suspect: Because I've been waiting for you for a long time.
Innocent: I didn't mean no problem, you know.
Suspect: Yes, yes.
Innocent: And ma'am, are you living alone or are you staying with your family?
Innocent: Well, I live alone.
Suspect: Oh, that's good. All right, ma'am. So now, first of all, what I'm going to do, I'm going to show you the problem that is affecting your computer, all right? All right. ma'am. So now, just give me a moment. Actually, your computer is working a little bit slower, that is why.
Innocent: Yes.
Suspect: But you don't have to worry about it, ma'am. After today, your computer will run like a brand new machine, all right?
Innocent: Oh, that's very kind of you, honey.
Suspect: Ma'am, let me tell you something, ma'am. Those red color errors, each one contains somewhere around 700 to 800 viruses on it. And they have the ability to keep on multiplying by themselves whether your computer is on or off, all right?
Innocent: Oh my lord.
Suspect: So first of all, what I'm going to do, I'm going to close this page because this page is no longer safe for your computer. So now, I am going to show you the active connections on your computer, all right?
Innocent: Okay.
Suspect: So ma'am, these are the local IP addresses through which you use your internet, ma'am. And if you just look over here, can you see these foreign addresses?
Innocent: Yes, how did you see all of these?
Suspect: Ma'am, I am going to show you the problem, ma'am, because we are technicians, ma'am. So now these are the foreign IP addresses that are currently connected to your computer, ma'am. And if you look at the state, can you see all of them are established on your computer? Can you see?
Innocent: Yes.
Suspect: So now over here, what I'm going to show you is how we got to know about your problem, all right?
Innocent: All right.
Suspect: So now at the bottom, can you see this transmit fail, general failure? Can you see that right?
Innocent: Yes.
Suspect: And ma'am, if you just look over here, can you see packet sent four, received zero, lost 400%? Can you see that?
Innocent: Yes.
Suspect: That means, ma'am, we are trying to send you regular security updates on your computer but your computer didn't receive any security updates from our end. That is the main thing.
Innocent: Is it because of something that I did?
Suspect: No ma'am, it's not your fault, not your computer's fault. Actually, there are some issues on the server. This is the reason your computer got hacked. That is why. Actually, that is the reason your computer didn't receive on-time security updates on your computer. That is the reason, ma'am. And now let me go ahead and show you like how many people are currently connected to your computer, all right?
Innocent: Okay, I'm kind of nervous.
Suspect: You don't have to worry about anything, granny. Today I'm calling you just to solve all your problems. You don't have to worry about anything, granny, all right?
Innocent: Okay, honey. How did you learn how to do all this stuff, by the way?
Suspect: We were senior certified technicians on Microsoft. So ma'am, first of all, tell me, apart from this computer, how many devices do you have? Do you have any other computer or any laptop or anything?
Innocent: I just have this one.
Suspect: All right, ma'am. But if you just look over here, can you see current connection?
Innocent: Yes, I see that.
Suspect: Yes, and that means, can you see router solicitations? Router neighbor solicitations? That means that with the help of your IP address, they are also trying to send unwanted solicitations and unwanted advertisements to your neighbor's IP address as well. They also want to hack the IP address of your neighbor's IP address as well with the help of your IP address. And all that kind of hacking, ma'am, they already hacked you. With the help of your IP address, they are also trying to send unwanted solicitations and unwanted advertisements to your neighbor's IP address as well, just to hack their IP address. What I am going to do, I am going to run a quick scan on your computer. And with the help of this scan, we will get a response from our main server about what is actually happening with the computer, all right?
Innocent: Okay, and how long does that take?
Suspect: It will hardly take two to three minutes to scan. Okay, can you see this? Most of the services which are provided by the Microsoft Corporation have stopped working on your computer. Can you see that, ma'am?
Innocent: Yes.
Suspect: Once again, I am going to run a quick scan on your computer.
Innocent: Okay.
Suspect: All right, with the help of this scan, we will get a response from our main server about what needs to be done in order to get this computer fixed, all right?
Innocent: Okay, honey.
Suspect: All right, ma'am, just give me a moment. Let me run the scan and once the scan has stopped, then we will get a response about what needs to be done in order to get this computer fixed, all right?
Innocent: Okay, honey.
Suspect: All right, ma'am, can you see the scan has started?
Innocent: Yes.",support,outgoing,Scammer BEGS For His Deleted Files As I Drink His Tears (youtube.com),Scammer Payback,1
"Suspect: Your Geek Squad subscription is upgraded to the premium version. That is why you have been charged for it, ma'am.

Innocent: Is there any way to cancel that and get back down to the original?

Suspect: Yes, ma'am, we have options. Also, you can activate a $20 plan.

Innocent: Oh, a $20 plan sounds good. I wouldn't mind that. I don't need the premium. Suspect: So, you want it to be canceled?

Innocent: Oh, 100% yeah, if I can get that.

Suspect: Can you cancel it?

Innocent: This is odd. I only shop at Best Buy in the United States, but I do buy my maple syrup from Canada. Canada's got better maple syrup. I'm sorry, USA, but you know, I'm very patriotic and everything, believe in all the Amendments and such. Our friends from the north have it down, they know how to squeeze the maple from the tree just right.

Suspect: I can understand, ma'am. Just go to the United States website and you will get to see a cancellation option on the top of the Home Server.

Innocent: I see all these right here. Suspect: Do you see the terms and conditions of the Better Business Bureau there?

Innocent: Yes, I see this and the Attorney General. Oh, well, I didn't know they had the Attorney General involved in this situation here. They are in charge of supervising and overseeing all these funds related to our business operations. You will be disconnected from the technical service and routed through the billing service server for a prompt refund in accordance with the Better Business Bureau policy. I don't know what that means, but I guess I'm agreeing to that. If you are in agreement with everything mentioned above and you have no other questions, click agree and move to the next section. Oh, hold on, hold on. I can't agree to this without—I think there's something wrong with the server. I can't agree. It won't let me agree to six and disagree with that one, so if I agree to six, it won't let me agree on seven because it says I have to agree to everything above. I can't disagree or agree with this.

Suspect: You have to age, ma'am.

Innocent: Well, I can't agree with it. I'm telling you right now, I think there's an issue. When I agree to number seven, it takes off number six. I can't agree to both.

Suspect: Only number seven will be agreed, number six will be blank. Scroll down a little bit and you will get to see a continue option.

Innocent: Continue? Okay.

Suspect: You have to fill out the cancellation form.

Innocent: No, that's all right. You said your name was Stark, right? S-T-A-R-K, Stark?

Suspect: Yes, ma'am. You have to write in the feedback that you want to cancel. You have to type in the feedback.
",support,outgoing,"Incompetent Scammer Sends Me $25,000 (youtube.com)",Rinoa Poison,1
"Suspect: Cancellation department, how may I help you? Oh yeah, this call is about your computer service that just expired, that's why your account has been charged $400. So do you want to cancel it or do you want to renew it?

Innocent: Uh, no, I want to cancel it.

Suspect: Okay, not a problem. So if you want to cancel the service and stop the statement, what you need to do is follow the corporate process so I can help you cancel the service and we can refund the money. First of all, in order to cancel, you need to fill out the cancellation form on your computer. So, is your computer on right now? Are you in front of your computer?

Innocent: Yeah, what site do I go to?

Suspect: Okay, and can you please confirm what do you see on your computer right now? What do you see?

Innocent: Okay, I see my desktop.

Suspect: Do one thing, sir, can you look at your typing keyboard? On the keyboard, the left-hand side, bottom corner, do you see the Ctrl key?

Innocent: Well, of course.

Suspect: And next to the Ctrl key, which key do you see over there?

Innocent: Are we playing a game? What do you need?

Suspect: You can see the Ctrl key, correct? On the keyboard, the left-hand side. And next, right to the Ctrl key, can you please confirm which key do you see over there?

Innocent: I see the Windows key. Now it's my turn, what key do you see next to the Windows key?

Suspect: You need to press the Windows key and the letter R, R like Romeo. Press the Windows key and the letter R at the same time. And after that, what do you see?

Innocent: You're changing it up on me. Okay, I thought we were gonna play a game. You're supposed to go, ""Do you see the Tab button?"" And then I'm supposed to say yes. You're supposed to say, ""Do you see it? What's beside the Tab?"" And I'm going to say Q, and then you're going to say W, E, and then...

Suspect: Okay, let's get back on track. You have the Run box open, correct?

Innocent: Yes, I have the Run box open.

Suspect: And you can type in the Run box. Type www.techsupport.us.

Innocent: www.techsupport.us?

Suspect: Yes, that's correct. T-E-C-H-S-U-P-P-O-R-T dot U-S. Then hit Enter.",support,outgoing,Scammer Gets Really Angry... Must See [scambaiting] (youtube.com),scambait tv,1
"Suspect: Thank you for calling support. How can I help you?

Innocent: Hi there, sir. I'm seeing a pop-up message on my screen.

Suspect: Okay, can you please read it for me?

Innocent: The message says, ""Virus Alert from Microsoft. This computer is blocked. Do not close this window and restart your computer. Your computer's registration key is blocked.""

Suspect: What exactly were you doing when you got this pop-up?

Innocent: Just trying to use the internet as normal.

Suspect: Okay, can you please help me out with your complete name?

Innocent: Yes, it's Benjamin Kenneth Lord.

Suspect: Okay, perfect. And what will be the best callback number to reach you if we get disconnected?

Innocent: The best callback number is 346-595-1584.

Suspect: Correct, 346-595-1584?

Innocent: Yes.

Suspect: Okay, Benjamin, I'm just guiding you through a few steps that you need to do so that I can connect you with our Microsoft secured server. Then I'll go ahead and see what exactly the problem you're facing, okay?

Innocent: Okay, that sounds great.

Suspect: Do you have a laptop or a desktop?

Innocent: It's a desktop.

Suspect: Okay, perfect. Just be on your keyboard. On the left corner, you will see a logo of Microsoft Windows. Do you see it?

Innocent: Yes, I see the Microsoft Windows logo.

Suspect: Perfect. Just hold that button and press the letter R like in Romeo.

Innocent: Okay, now I can see a small box that appeared on the bottom left corner of my desktop.

Suspect: Okay, perfect. Now I'm just telling you the website from where I'll connect you with our Microsoft secure server. Just type in the box ""www.fastsupport.com"" and press the Enter key on your keyboard.

Innocent: Okay, it's just loading up now. It says ""Establish Support Connection.""

Suspect: Perfect. Now you will see it asking you to put your complete name and support key numbers, which are nine digits.

Innocent: Yes, I see that.

Suspect: Okay, let's use a different tool since this one might be having issues. Please open your browser again and type ""www.teamviewer.com"" and press Enter.

Innocent: Okay, I've done that. It's showing ""TeamViewer: The Remote Connectivity Software.""

Suspect: Perfect. You will see a download button. Click on ""Download for free.""

Innocent: Okay, it's just downloading now.

Suspect: At the bottom left corner of your desktop, you will see it downloading. When it's finished, you will see an arrow. Click on ""Open.""

Innocent: Okay, it's downloaded. I'm clicking ""Open.""

Suspect: Now, you will see an installation prompt. Click ""Install.""

Innocent: It says it's installing now.

Suspect: Perfect. Once it's installed, you will see the TeamViewer icon on your desktop. Open that icon.

Innocent: Okay, it's installed and the icon is on my desktop. I'm opening it now.

Suspect: Great. Now, it should show you an ID and a password. Please read those out to me so I can connect to your computer.

Innocent: Yes, I see the ID and password. The ID is 123 456 789 and the password is xyz123.

Suspect: Thank you. I will now connect to your computer to help resolve the issue. Please hold on for a moment while I establish the connection.",support,outgoing,Tech Support Scammer vs Linux Mint (youtube.com),Lewis's Tech,1
"Suspect: Thank you for calling PayPal, how may I help you?

Innocent: Um, I'm calling regarding an email you all sent me. It's for $629. I'm not entirely sure what this Bitcoin is.

Suspect: Okay, you have a charge that was being made under your PayPal account buying some Bitcoins. You're telling me that's what it seems to be, yes, $629.99. So, you are telling me that you did not make that purchase?

Innocent: Well, I definitely didn't make the purchase. What do I have to do to get it canceled?

Suspect: So, did you log into your PayPal account anywhere?

Innocent: I don't even have a PayPal account.

Suspect: Okay, I just spoke with my department and they informed me that they've been getting these kinds of complaints. Some people are misusing others' information and creating accounts in PayPal, purchasing something sometimes on eBay, sometimes on Amazon, and in your case, this is Bitcoin. First of all, I want to make sure that you want me to put a hold on that transaction, right? You don't want me to let it go?

Innocent: Yes, please put a hold on it.

Suspect: I can see it here, it's under review and under your name, but it's not yet processed. We are putting a hold on it, and I have done it. I have put a hold on the transaction.

Innocent: Thank you, I appreciate that.

Suspect: Like you told me, you've never created a PayPal account, right?

Innocent: No sir, never. Never once have I ever had a PayPal account.

Suspect: Now, I'm asking you, have you used your information recently anywhere, like on a website, some bad websites, purchasing something like clothes or something, recently, within a week or two?

Innocent: I did purchase some items on eBay about maybe two months ago.

Suspect: Good for you that we have stopped it. The money that was being taken from you is with us now. We have put a hold on it, so it's not going to those people. The Bitcoins would not be purchased and it would be reflected on your statement within the next 10 to 12 hours. If you want, we can revert the funds that have been taken from you.

Innocent: Yeah, please, that would be great, that would be lovely.

Suspect: Okay, all right. So in order to do that, you would have to fill out a cancellation form. That would work as proof that we have helped you cancel the purchase and give you your money back. So, are you near a computer right now?

Innocent: I'm actually in front of my computer right now as we speak.

Suspect: Just open up your Google Chrome and I will give you a command that will help you connect to our secure server.

Innocent: It's asking for an enter service code. Where am I finding this?",refund,outgoing,"Telling a Scammer I'm Keeping His $18,000 (youtube.com)",Rinoa Poison,1
"Suspect: My name is Brad Williams. You called the cancellation department of Norton. Norton is an antivirus software that protects your computer. When you bought your computer, we provided the subscription and software. This software on your computer has expired, and today is the auto-renewal date. That’s why you received the email and your account has been charged. Now, it’s up to you whether you want to continue that or cancel it.

Innocent: Uh, if I could cancel, I didn’t realize I was still subscribed. I didn’t know it came with the computer. Yeah, that would be fine if I could. Could I cancel it? What did you say your name was?

Suspect: Give me a moment.

Innocent: What did you say your name was?

Suspect: No, I'm telling you, just be online with me.

Innocent: Is your na""Be on the line for a moment,"" or can I have your name Suspect: and how much money has been charged? Madam, is it 400?

Innocent: Yeah, it's $418. Can I have your name?

Suspect: Yes, my name is Brad. Oh, very good afternoon to you, ma'am. How are you doing? This is William here.

Innocent: Hi, how are you?

Suspect: Yes, I'm doing fine as well, thank you for asking. Ma'am, your line got transferred to me.

Innocent: Yes, what's your surname?

Suspect: The pronunciation is like Bond. So, ma'am, let me just brief the things out to you. First thing, I believe my colleague who was talking to you explained why you are getting back your money and how you're going to get your funds back.

Innocent: Honestly, he didn’t explain anything. So, if you want to fill me in, that would be wonderful because he just got me connected and then gave me his name and his badge ID, and then he transferred the call to you. Other than that, I haven’t really done anything. He did say that I will be helping you. I don't really know what's going on other than, ynow, when I bought the computer, it came with the service. Is that right? I wanted to get it canceled.

Suspect: Absolutely. You can rest assured that I will be helping you to cancel this and make sure that you get your money reimbursed as well.

Innocent: That sounds wonderful.

Suspect: Now, first thing, ma'am, I'll just bring the things out to you on how we're going to do this. I'm going to read out the badge ID of Brad.

Innocent: No, ma'am, I'm just asking you to listen to me for a couple of seconds. First thing, ma'am, we are not here to sell something to you, nor are we telemarketers.

Innocent: I'm not interested in buying anything. That's why I wanted to get the service canceled. I told the other associate I wanted to cancel, and he asked if I wanted to continue with the service, and I told him no.

Suspect: That is the main purpose, the sole reason we are talking today, ma'am, so that you can get back your money and we can ensure the services are canceled as well. So, ma'am, I will be helping you to cancel the subscription and make sure you get your money reimbursed without sharing or providing us with any of your personal banking information. And, ma'am, please, I will request this: please do not interrupt me. If you want to speak, you can, but while I am speaking, please do not interrupt me.

Innocent: I wasn’t trying to interrupt you. I apologize if I came off as rude. I was just explaining the situation.

Suspect: Thank you for that. As I was telling you, ma'am, we’ll make sure you get your money reimbursed. We will be directly reimbursing the money back into your checking acco",refund,outgoing,I Annoy Scammers into a Rage! (youtube.com),Rinoa Poison,1
"Innocent: I don't want to renew it.

Suspect: Okay, you just tell me your order ID number, sir.

Innocent: There's an invoice number and the customer number. Which one do you need? And then there's another extra ID number.

Suspect: The invoice number, sir.

Innocent: Norton 115243853CX.

Suspect: Okay, hold on a moment. I just need to check my records. Just give me a moment.

Innocent: Yeah, hello?

Suspect: Yes, thank you for holding the line, sir. Your invoice number is absolutely correct. You have an online cancellation form on your computer. Are you in front of your computer right now, sir?

Innocent: Yeah, that's why I was reading the thing.

Suspect: Okay, so which browser are you using? Do you have Google Chrome or Microsoft Edge?

Innocent: Yes, Chrome.

Suspect: Just open Google Chrome for me.

Innocent: All right.

Suspect: Now, do you see the search box at the very top on the left-hand side? Just type over there.

Innocent: Okay.

Suspect: Then type ""T"" as in Tiger.

Innocent: That's ""T"" as in Tiger, I got it.

Suspect: It's the letter ""T,"" ""T"" as in Tiger.

Innocent: ""T"" as in Tiger, got it.

Suspect: Then ""A"" as in Apple.

Innocent: All right.

Suspect: Then ""M"" as in Michael.

Innocent: Okay.

Suspect: Then ""V"" as in Victoria.

Innocent: All right.

Suspect: Then ""I"" as in Ice cream.

Innocent: All right.

Suspect: Then ""E"" as in Edward.

Innocent: Okay.

Suspect: Then ""W"" like in William.

Innocent: All right.

Suspect: Then ""E"" as in Edward.

Innocent: Okay.

Suspect: Then ""R"" as in Roger, then put a dot ""com"" C-O-M.

Innocent: Oh, you said I got up to ""Team,"" and then you were talking fast. I'm a slow typer.

Suspect: Okay, let's go again. ""T"" as in Tiger.

Innocent: Got it.

Suspect: ""E"" as in Edward.

Innocent: Okay.

Suspect: ""A"" as in Apple.

Innocent: All right.

Suspect: ""M"" as in Michael.

Innocent: Okay.

Suspect: ""V"" as in Victoria.

Innocent: Got it.

Suspect: ""I"" as in Ice cream.

Innocent: All right.

Suspect: ""E"" as in Edward.

Innocent: Okay.

Suspect: ""W"" like in William.

Innocent: Got it.

Suspect: ""E"" as in Edward.

Innocent: Okay.

Suspect: ""R"" as in Roger.

Innocent: Got it.

Suspect: Then dot ""com.""

Innocent: Got it. TeamViewer.com, right?

Suspect: Yes, hit the enter button on your keyboard, sir.

Innocent: All right. Some kind of download thing?

Suspect: Yeah, do you see that remote connectivity software? Do you see that?",refund,outgoing,Exposing The Norton Refund Scam Setup (youtube.com),Scammer Jammer,1
"Suspect: This is Amazon, how may I help you?

Innocent: Hi, yes, how are you doing today? I received a call about an order for an iPhone.

Suspect: Yes, my name is Michael Nelson. How are you?

Innocent: Oh, hello Michael. How are you doing?

Suspect: Yeah, I'm fine, ma'am. Thanks for asking. Ma'am, I see there is an order in your Amazon account for an iPhone 11 worth $579.99.

Innocent: My goodness, where? No, I didn't order that. Where's that being delivered to?

Suspect: Ohio.

Innocent: Oh my goodness, does somebody have my account? This happened once before, it was such a hassle. Oh no, can you cancel that order?

Suspect: Yeah, go in front of your computer.

Innocent: Actually, you know what, you said it was $579 for an iPhone 11?

Suspect: It's $579.99.

Innocent: Oh, even better. Can you tell me where it's being delivered to?

Suspect: Ohio.

Innocent: Can we change that to my house?

Suspect: No, not to your house, ma'am. Tell me, what do you want?

Innocent: Well, can we update the location? If it's going to Ohio, can we just switch it to my house because $579 for an iPhone is actually a really good deal. I was looking at one the other day.

Suspect: Go in front of your computer.

Innocent: Okay, if you want to hold on a second, I can get there.

Suspect: Okay.

Innocent: Okay, I'm in front of my computer now.

Suspect: Yeah, what do you see on your computer?

Innocent: I got all my icons, like Recycle Bin, Microsoft Edge, Music, Documents.

Suspect: Do you see TeamViewer?

Innocent: TeamViewer? I don't have TeamViewer. I don't see that. Suspect: Is there any Desk or UltraViewer?

Innocent: No, I don't see anything like that. I see Dropbox. Would that work?

Suspect: Do you have Google Chrome? Open it.

Innocent: Yeah, I have that. You want me to open it?

Suspect: Yes, open it.

Innocent: Okay, there we go, now it's loaded. What do you want me to go to?

Suspect: Supremo. S-U-P-R-E-M-O.

Innocent: Can you do that a little bit slower? It's hard to hear.

Suspect: S-U-P-R-E-M-O.

Innocent: S-U-P-R-E-M-O.

Suspect: Yes, Supremo. The best remote desktop.

Innocent: Okay, I have it. It shows Supremo, the best remote desktop.

Suspect: Open it.

Innocent: Open it?

Suspect: Yes, open it, ma'am.

Innocent: Okay, I just did. I'm waiting for it now. It says, ""We use technical cookies."" Click on ""Accept.""

Innocent: Okay, what are cookies? Do you know that?

Suspect: Yeah, I see the download. Click on download.

Innocent: What's the cookies though? I keep seeing that on the websites I go to.





",refund,outgoing,The Amazon Scammers Are Absolutely Clueless And Fools PART 2 (youtube.com),Scammer Jammer,1
"Suspect: Hello.

Innocent: Yes?

Suspect: Yes, you're speaking with Mr. Peter Anderson. How are you doing today?

Innocent: Well, I'm doing just fine. How are you?

Suspect: I'm fine, thank you. How may I direct your call?

Innocent: Uh, did I win? Did I win the prize?

Suspect: And who is this I'm speaking with? Do you have a confirmation number?

Innocent: Yes, it's Joseph King.

Suspect: Joseph King. And what's your confirmation number?

Innocent: Where do I see that at? Didn't you receive an automated message letting you know that you're supposed to contact our head office with your confirmation?

Innocent: Yeah, but I was at work. I work 90 hours a day, so I didn't get to jot it down.

Suspect: All right, so what you could do is, give me one second while I check the system to see if I can find out what your confirmation number is. Could you state your name one more time, please?

Innocent: Joseph King.

Suspect: Joseph King. Hold the line.

Suspect: Hello, Mr. Joe King?

Innocent: Yes.

Suspect: All right, Mr. Joe King. What I can see here is that your confirmation is 1108 U.S. You need to write down that confirmation because the next time you call and ask for it, we can't give it to you again. So, you have to write it down so you can remember it at all times, all right?

Innocent: All right, let me grab a piece of pen and paper. I gotta open my desk drawer here. Okay... all right, this pen works.

Suspect: Okay, so the first thing you're going to write down is my name. Get a good-sized piece of paper to write on so I can give you all the information, all right?

Innocent: Oh, I have it. Is a legal pad good?

Suspect: Oh, that's good. All right, the first thing you're going to write down is my name—Mr. Peter Anderson.

Innocent: Peter Anderson.

Suspect: Right, and next you're going to write down my badge number that I wear on my shirt at work. It's 454 P.A.

Innocent: Peter Anderson, 454 P.A.

Suspect: Beautiful, that's correct.

Innocent: So, how much money did I win?

Suspect: Oh my word, I will be gettg into that shortly. That's why I'm providing you with all this information, so you can understand that this isn't a runaround. Remember, there are a lot of schemes and frauds happening, so we want to make sure...

Innocent: Oh no, I thought I won...

Suspect: I'm going to call you on a better line because it seems like you're not hearing me quite right. Innocent: I'm just repeating back to you what you said—you said that you're a scheme and fraud, isn't that what you said? I'm a little bit hard of hearing.

Suspect: No, I was telling you that this is not any scheme or fraud",reward,incoming,I Won $6.5 Million In Publishers Clearing House SCAM (youtube.com),Scammer Jammer,1
"Suspect: Publisher Clearing House, James Anderson speaking.

Innocent: Oh yes, I'm returning a message.

Suspect: Did you get a call from our company?

Innocent: Yes.

Suspect: Okay, and did you get a claim code number? You need to provide me with the claim code number so I can check to see what is here for you. You're going to listen to your voicemail and get the claim code number and call me back, okay?

Innocent: No, what I'm saying is your system didn't leave the number correctly. The connection was real bad. I don't know if it's because I'm a truck driver or what happened, but it ain't on there. I listened to it a bunch of times, it's all garbled.

Suspect: Okay, provide me with your name, please.

Innocent: It's David Smith.

Suspect: Okay, I see where you are supposed to be receiving $2,800,000 with a 2021 Mercedes-Benz car. Congratulations! How are you feeling?

Innocent: Oh, I feel real excited.

Suspect: Okay, well today, Mr. David, I would not want you to be excited just yet. I need for you to be excited when you see this with your own eyes.

Innocent: Okay, yes.

Suspect: So are you home towards receiving?

Innocent: Yes. Suspect: You got my name right down there?

Innocent: Well, your phone broke up. This is what I was talking about. It's like I don't know if I'm in a bad cellular reception area, but can you say it again because the phone cut out when you were talking. Suspect: Do you have my name right down?

Innocent: No, I didn't hear your name because the phone broke up.

Suspect: Okay, and are you hearing me now?

Innocent: I can hear you loud and clear, coming in 4x4, Big Trucker.

Suspect: Okay, in order for you to receive your prize package, Mr. David, there's a government registration card that you have to purchase to show to the delivery team once they get to your home. The card you will be purchasing is to show to the delivery team as proof that you completed the 1% fee with the government so your check can be registered under your name and fully authorized in your state. You will be receiving a 100% tax-free check from our company because all your taxes have been completed with Bank of America and Publisher Clearing House. You also receive a benefit as the beneficiary.",reward,outgoing,I Won $2800000 And A Mercedes!! PCH Scam Exposed (youtube.com),Scammer Jammer,1
